id_zone,id_quartier,nom_quartier,piece,epoque,meuble_txt,ref,max,min,annee,ville,code_grand_quartier,lat,lon
4,14,Saint-Gervais,3,Avant 1946,meublé,28.3,33.96,19.81,2020,PARIS,7510414,48.8557186509,2.35816233385
10,44,Sainte-Marguerite,1,Apres 1990,non meublé,29.0,34.8,20.3,2020,PARIS,7511144,48.852096507,2.3887648336
1,25,Saint-Thomas-d'Aquin,3,1946-1970,meublé,28.6,34.32,20.02,2020,PARIS,7510725,48.8552632694,2.32558765258
11,68,Epinettes,4,1971-1990,meublé,23.4,28.08,16.38,2020,PARIS,7511768,48.8949426538,2.32111874371
8,57,Saint-Lambert,3,Avant 1946,non meublé,22.4,26.88,15.68,2020,PARIS,7511557,48.8342936284,2.29691997445
7,60,Javel 15Art,1,1971-1990,meublé,29.7,35.64,20.79,2020,PARIS,7511560,48.8390604011,2.27807634692
7,60,Javel 15Art,2,1971-1990,non meublé,23.4,28.08,16.38,2020,PARIS,7511560,48.8390604011,2.27807634692
8,57,Saint-Lambert,2,1971-1990,meublé,25.0,30.0,17.5,2020,PARIS,7511557,48.8342936284,2.29691997445
2,31,Madeleine,2,Avant 1946,non meublé,28.2,33.84,19.74,2020,PARIS,7510831,48.871265493,2.32005302865
3,62,Muette,4,Avant 1946,meublé,26.8,32.16,18.76,2020,PARIS,7511662,48.8632745438,2.2599358317
11,77,Belleville,1,1971-1990,meublé,28.7,34.44,20.09,2020,PARIS,7512077,48.8715312006,2.38754923985
6,66,Plaine de Monceaux,2,Avant 1946,meublé,29.8,35.76,20.86,2020,PARIS,7511766,48.8850436914,2.30290982465
3,62,Muette,4,Avant 1946,non meublé,23.7,28.44,16.59,2020,PARIS,7511662,48.8632745438,2.2599358317
3,62,Muette,1,1946-1970,non meublé,28.3,33.96,19.81,2020,PARIS,7511662,48.8632745438,2.2599358317
2,3,Palais-Royal,1,1946-1970,non meublé,31.9,38.28,22.33,2020,PARIS,7510103,48.8646599781,2.33630891897
10,67,Batignolles,3,1946-1970,non meublé,20.7,24.84,14.49,2020,PARIS,7511767,48.8884815139,2.31385616901
13,75,Amérique,2,1971-1990,meublé,20.2,24.24,14.14,2020,PARIS,7511975,48.8816381673,2.39544016662
3,64,Chaillot,3,1971-1990,non meublé,25.3,30.36,17.71,2020,PARIS,7511664,48.8684336145,2.29167904274
2,34,Chaussée-d'Antin,3,Avant 1946,meublé,30.7,36.84,21.49,2020,PARIS,7510934,48.8735473802,2.33226886887
3,63,Porte-Dauphine,2,1971-1990,meublé,30.4,36.48,21.28,2020,PARIS,7511663,48.8717656343,2.27191774047
14,45,Bel-Air,2,1971-1990,non meublé,19.3,23.16,13.51,2020,PARIS,7511245,48.8379956461,2.43317844196
4,10,Enfants-Rouges,4,Avant 1946,non meublé,25.1,30.12,17.57,2020,PARIS,7510310,48.863887392,2.36312330099
5,33,Saint-Georges,3,Apres 1990,non meublé,23.6,28.32,16.52,2020,PARIS,7510933,48.8799343388,2.33285019656
11,48,Quinze-Vingts,2,Apres 1990,meublé,27.0,32.4,18.9,2020,PARIS,7511248,48.8469159441,2.37440162648
14,47,Bercy,2,Apres 1990,meublé,26.3,31.56,18.41,2020,PARIS,7511247,48.8352090499,2.38621008421
3,32,Europe,1,1946-1970,meublé,32.0,38.4,22.4,2020,PARIS,7510832,48.8781476759,2.3171746113
2,29,Champs-Elysées,3,1946-1970,meublé,24.5,29.4,17.15,2020,PARIS,7510829,48.8670744922,2.30865168468
4,14,Saint-Gervais,2,Apres 1990,non meublé,25.4,30.48,17.78,2020,PARIS,7510414,48.8557186509,2.35816233385
7,61,Auteuil,2,Apres 1990,non meublé,25.0,30.0,17.5,2020,PARIS,7511661,48.8506223427,2.25227690754
9,46,Picpus,2,1971-1990,non meublé,22.0,26.4,15.4,2020,PARIS,7511246,48.8303592424,2.42882681508
6,58,Necker,3,1946-1970,non meublé,22.4,26.88,15.68,2020,PARIS,7511558,48.8427112503,2.31077745364
2,21,Monnaie,3,1946-1970,non meublé,21.7,26.04,15.19,2020,PARIS,7510621,48.8543844036,2.34003537113
2,22,Odeon,4,Avant 1946,meublé,28.9,34.68,20.23,2020,PARIS,7510622,48.8478006293,2.33633882759
2,3,Palais-Royal,3,1946-1970,meublé,24.5,29.4,17.15,2020,PARIS,7510103,48.8646599781,2.33630891897
14,76,Combat,4,1946-1970,meublé,20.5,24.6,14.35,2020,PARIS,7511976,48.8786390757,2.38012728183
2,30,Faubourg-du-Roule,1,Avant 1946,meublé,37.0,44.4,25.9,2020,PARIS,7510830,48.8741355756,2.30411880972
2,15,Arsenal,2,Apres 1990,non meublé,26.7,32.04,18.69,2020,PARIS,7510415,48.851585175,2.36476795387
3,64,Chaillot,1,Avant 1946,meublé,31.4,37.68,21.98,2020,PARIS,7511664,48.8684336145,2.29167904274
13,74,Pont-de-Flandre,3,1971-1990,non meublé,16.7,20.04,11.69,2020,PARIS,7511974,48.8955557746,2.38477722927
2,1,St-Germain-l'Auxerrois,1,1971-1990,non meublé,27.9,33.48,19.53,2020,PARIS,7510101,48.8606501352,2.33491032928
10,18,Jardin-des-Plantes,4,Avant 1946,meublé,23.3,27.96,16.31,2020,PARIS,7510518,48.8419401934,2.35689388962
5,52,Croulebarbe,2,Apres 1990,non meublé,25.0,30.0,17.5,2020,PARIS,7511352,48.8337336761,2.34767304607
